study_id,treatment,replicate,time_hours,time_days,source_day_label,source_reported_time_days,temperature_c,carbon_material,process_temperature_c,dose_g_l,raw_cumulative_methane_ml,blank_mean_cumulative_methane_ml,methane_ml_g_vs,included_in_benchmark,exclusion_reason,data_origin,source_doi
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,1,3,0.12500000,1,0.03125000,37,hydrochar,240,5.0,71.90000000,28.03333333,9.91204405,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,2,3,0.12500000,1,0.03125000,37,hydrochar,240,5.0,79.80000000,28.03333333,11.69711581,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,3,3,0.12500000,1,0.03125000,37,hydrochar,240,5.0,70.50000000,28.03333333,9.59570222,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,1,4,0.16666667,1,0.04166667,37,none,,0.0,99.80000000,33.56666667,14.96598140,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,4,0.16666667,1,0.04166667,37,none,,0.0,98.50000000,33.56666667,14.67223541,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,4,0.16666667,1,0.04166667,37,none,,0.0,77.80000000,33.56666667,9.99489548,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,4,0.16666667,1,0.04166667,37,torrefaction_product,240,5.0,105.20000000,33.56666667,16.18615703,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,4,0.16666667,1,0.04166667,37,torrefaction_product,240,5.0,0.60000000,33.56666667,-7.44909693,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,4,0.16666667,1,0.04166667,37,torrefaction_product,240,5.0,103.70000000,33.56666667,15.84721936,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,4,0.16666667,1,0.04166667,37,biochar,600,5.0,106.90000000,33.56666667,16.57028640,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,4,0.16666667,1,0.04166667,37,biochar,600,5.0,87.20000000,33.56666667,12.11890492,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,4,0.16666667,1,0.04166667,37,biochar,600,5.0,27.80000000,33.56666667,-1.30302707,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,1,4,0.16666667,1,0.04166667,37,hydrochar,240,5.0,90.40000000,33.56666667,12.84197196,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,2,4,0.16666667,1,0.04166667,37,hydrochar,240,5.0,100.20000000,33.56666667,15.05636478,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,3,4,0.16666667,1,0.04166667,37,hydrochar,240,5.0,87.80000000,33.56666667,12.25447999,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,1,5,0.20833333,1,0.05208333,37,none,,0.0,119.30000000,38.43333333,18.27250673,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,5,0.20833333,1,0.05208333,37,none,,0.0,122.00000000,38.43333333,18.88259455,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,5,0.20833333,1,0.05208333,37,none,,0.0,102.00000000,38.43333333,14.36342553,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,5,0.20833333,1,0.05208333,37,torrefaction_product,240,5.0,129.70000000,38.43333333,20.62247462,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,5,0.20833333,1,0.05208333,37,torrefaction_product,240,5.0,0.70000000,38.43333333,-8.52616555,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
